PID,Social Media Post,Normalized Claim
1266,"they are on the shoreline of pacific grove, california, and the most romantic spot in the united states","picture of the romantic mountain cliffs located on the shoreline of the pacific grove, california"
1267,"""the government will one day be corrupt and filled with liars and the people will flock to the one who tells the truth.""","says thomas jefferson said ""the government will one day be corrupt and filled with liars and the people will flock to the one who tells the truth."""
1268,"hello. if anyone is looking for this sweet boy, found him lying on the side road in . he was hit by a car in a hit and run incident. i took him to the vet he is not chipped i know someone is looking for him. he definitely misses his family, i will continue to take care of him in the meantime. please bump this post to help me find his owner sic",someone who found a dog injured in a hit and run in bexleyheath is looking for its owner.
1269,"wussup tribe. i have your email from some shit in the past, and i am writing this to let you know i started a podcast and would love to have the old tribe back in the house! i really miss the days of having an audience, which is probably closeted narcissism but hey, if it makes you laugh... worth it. censorship has gotten fucked yup beyond all measure, ig has booted me off time and time again. recently i was banned from accessing 7 10 pages. it is insanity. i hope this is a way to quench your thirst for consciousness, and satiate my need for constant reassurance.",the claim post implies moderna suing pfizer for patent infringement proves the covid 19 vaccine was developed before the pandemic
1270,"unemployment rate jumps to 8.1 in april first full month of covid 19 impact shows decrease of nearly 360,000 jobs","amid the covid 19 outbreak, minnesota now has the highest unemployment rate in you.s. history."
1271,"did you know that only 3,774 people under 65 have died of covid in the uk?","only 3,774 people under 65 have died of covid in the uk."
1272,"now you can listen to world wide radio even without ear phone!!!! this is from isro when you click the link, you can see the globe rotating. there are green dot on which you simply touch you can start listening to live radio from that place.",isro has developed a portal radio garden to listen to live radio of any country from anywhere
1273,"satellites have observed clusters of contrails lasting as long as 14 hours, though most remain visible for four to six hours","contrails disappear from the sky quickly, so lines of cloud which last for hours are chemtrails."
1274,sickening. what has the world come to when doctors are misdiagnosing patients intentionally because of their ideological views?,mayo clinic staff member misdiagnosed pregnancies of trump supporters
1275,bohra muslims near bannerghatta road area in bangalore took out procession in memory of martyred crpf jawans,some people from muslim community taking out procession holding the indian national flag in their hands.
